id,user_id,username,action,details,ip,timestamp
107,1.0,admin,login,"{""username"": ""admin""}",127.0.0.1,2025-11-14 12:51:30
106,3.0,Priyanka,logout,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 12:40:29
105,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:59:06
104,3.0,Priyanka,login,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:58:19
103,1.0,admin,logout,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:58:12
102,1.0,admin,view_history,"{""returned_count"": 5}",127.0.0.1,2025-11-14 10:58:08
101,1.0,admin,login,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:56:28
100,3.0,Priyanka,logout,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:56:21
99,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:56:18
98,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:50:48
97,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:50:45
96,3.0,Priyanka,login,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:50:41
95,1.0,admin,logout,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:50:33
94,1.0,admin,view_history,"{""returned_count"": 5}",127.0.0.1,2025-11-14 10:50:12
93,1.0,admin,view_history,"{""returned_count"": 5}",127.0.0.1,2025-11-14 10:50:10
92,1.0,admin,view_history,"{""returned_count"": 5}",127.0.0.1,2025-11-14 10:49:46
91,1.0,admin,view_history,"{""returned_count"": 5}",127.0.0.1,2025-11-14 10:45:30
90,1.0,admin,view_history,"{""returned_count"": 5}",127.0.0.1,2025-11-14 10:45:01
89,1.0,admin,predict,"{""input"": {""living area"": 5000.0, ""number of bedrooms"": 3.0, ""number of bathrooms"": 2.0, ""number of floors"": 3.0, ""condition of the house"": 5.0, ""grade of the house"": 10.0, ""Area of the house(excluding basement)"": 4000.0, ""Area of the basement"": 1300.0, ""Built Year"": 2005.0}, ""predicted_price"": 1102380.9349122038}",127.0.0.1,2025-11-14 10:44:55
88,1.0,admin,login,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:40:04
87,3.0,Priyanka,logout,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:39:57
86,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:39:43
85,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:39:29
84,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:35:22
83,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:35:14
82,3.0,Priyanka,login,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:33:31
81,3.0,Priyanka,logout,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:33:25
